IdSensore,NomeTipoSensore,UnitaMisura,IdStazione,Quota,Provincia,Comune,lat,lng
10431,Ossidi di Azoto,µg/m³,1264,290.0,SO,Sondrio,46.16785244066512,9.879209924469905
9968,Ossidi di Azoto,µg/m³,679,247.0,LC,Valmadrera,45.842207261022544,9.351658166127958
20197,PM10 (SM2005),µg/m³,598,50.0,LO,San Rocco al Porto,45.08198669697863,9.70078817718398
5611,Biossido di Azoto,µg/m³,608,59.0,LO,Codogno,45.15937280234111,9.69814824935254
10347,Particelle sospese PM2.5,µg/m³,670,22.0,MN,Mantova,45.16056833010576,10.79556411370788
5749,Ozono,µg/m³,554,212.0,VA,Saronno,45.627357052738944,9.026401379770974
10197,Particelle sospese PM2.5,µg/m³,697,14.0,MN,Borgofranco sul Po,45.04650153816735,11.18093581912755
6915,PM10 (SM2005),µg/m³,554,212.0,VA,Saronno,45.627357052738944,9.026401379770974
6398,Ossidi di Azoto,µg/m³,554,212.0,VA,Saronno,45.627357052738944,9.026401379770974
20465,BlackCarbon,µg/m³,548,118.0,MI,Milano,45.470499014097,9.197460360112531
9873,Particelle sospese PM2.5,µg/m³,554,212.0,VA,Saronno,45.627357052738944,9.026401379770974
5664,Biossido di Zolfo,µg/m³,612,176.0,BG,Filago,45.6244564811923,9.556504350318216
5557,Biossido di Azoto,µg/m³,554,212.0,VA,Saronno,45.627357052738944,9.026401379770974
20429,PM10 (SM2005),µg/m³,501,129.0,MI,Milano,45.49631644365102,9.190933555313624
20529,Particelle sospese PM2.5,µg/m³,501,129.0,MI,Milano,45.49631644365102,9.190933555313624
20484,Ammoniaca,µg/m³,705,122.0,MI,Milano,45.47899606168744,9.235491038497502
12663,Cadmio,ng/m³,681,1194.0,LC,Moggio,45.91278752030292,9.497538167653424
12531,PM10 (SM2005),µg/m³,1297,48.0,CR,Spinadesco,45.150468869856816,9.930596472272326
5665,Biossido di Zolfo,µg/m³,595,190.0,BG,Filago,45.63386450908066,9.556084255790864
12640,Piombo,ng/m³,548,118.0,MI,Milano,45.470499014097,9.197460360112531
17122,Particelle sospese PM2.5,µg/m³,548,118.0,MI,Milano,45.470499014097,9.197460360112531
20004,BlackCarbon,µg/m³,705,122.0,MI,Milano,45.47899606168744,9.235491038497502
9993,Biossido di Azoto,µg/m³,682,88.0,PV,Ferrera Erbognone,45.11350314482957,8.874064848882607
9797,Benzene,µg/m³,670,22.0,MN,Mantova,45.16056833010576,10.79556411370788
5738,Ozono,µg/m³,607,64.0,LO,Abbadia Cerreto,45.309502269282255,9.585790416120414
20497,Benzene,µg/m³,1801,151.0,BS,Brescia,45.542647891822845,10.21120521511826
5575,Biossido di Azoto,µg/m³,572,262.0,SO,Morbegno,46.132282960003735,9.566179893984474
6274,Ossidi di Azoto,µg/m³,598,50.0,LO,San Rocco al Porto,45.08198669697863,9.70078817718398
20104,Particelle sospese PM2.5,µg/m³,592,191.0,BG,Treviglio,45.51933498138716,9.592009994888423
5812,Monossido di Carbonio,mg/m³,606,97.0,MI,San Giuliano Milanese,45.39619462552717,9.282700075557845
5834,Monossido di Carbonio,mg/m³,548,118.0,MI,Milano,45.470499014097,9.197460360112531
10288,Ozono,µg/m³,706,272.0,LC,Lecco,45.86374884127965,9.399950344681852
6356,Ossidi di Azoto,µg/m³,504,139.0,MI,Sesto San Giovanni,45.53476576509224,9.236107923411636
12691,Arsenico,ng/m³,560,383.0,VA,Varese,45.81697323326368,8.820240707158211
5595,Biossido di Azoto,µg/m³,592,191.0,BG,Treviglio,45.51933498138716,9.592009994888423
5809,Monossido di Carbonio,mg/m³,600,80.0,LO,Lodi,45.30601298752377,9.48526286320174
5555,Biossido di Azoto,µg/m³,552,425.0,VA,Varese,45.83690077655548,8.80392612667495
10001,Ossidi di Azoto,µg/m³,683,133.0,MI,Cassano d'Adda,45.52647254585104,9.515980483627096
9859,Monossido di Carbonio,mg/m³,673,90.0,PV,Voghera,44.99954598914026,9.008437381815693
5853,Monossido di Carbonio,mg/m³,560,383.0,VA,Varese,45.81697323326368,8.820240707158211
12596,Arsenico,ng/m³,609,108.0,BG,Casirate d'Adda,45.49822713394494,9.55623226235176
6953,PM10 (SM2005),µg/m³,659,349.0,BS,Odolo,45.64604963372525,10.38929530279196
6270,Ossidi di Azoto,µg/m³,602,83.0,MI,Melegnano,45.35428575070997,9.329243424113708
10548,PM10 (SM2005),µg/m³,1269,207.0,BG,Dalmine,45.64970251236247,9.601223338785262
